Aa,Ad,Ba,Bd,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,length
0,3,0,2,47.7273,25.0000,13.6364,13.6364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.1818,31.8182,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44
0,3,0,3,45.0000,27.5000,17.5000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.0000,25.0000,27.5000,2.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40
0,3,1,0,14.5833,37.5000,33.3333,12.5000,2.0833,0.0000,0.0000,0.0000,0.0000,0.0000,43.7500,33.3333,16.6667,6.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48
0,3,1,1,27.6596,34.0426,21.2766,14.8936,2.1277,0.0000,0.0000,0.0000,0.0000,0.0000,42.5532,34.0426,21.2766,2.1277,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47
0,3,1,2,23.2558,44.1860,23.2558,6.9767,2.3256,0.0000,0.0000,0.0000,0.0000,0.0000,37.2093,39.5349,20.9302,2.3256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43
0,3,1,3,24.0000,44.0000,20.0000,10.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,38.0000,30.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50
0,3,2,0,12.5000,35.0000,32.5000,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.5000,45.0000,10.0000,2.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40
0,3,2,1,22.5000,42.5000,20.0000,12.5000,2.5000,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,47.5000,20.0000,2.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40
0,3,2,2,33.3333,43.1373,15.6863,7.8431,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.2941,35.2941,23.5294,5.8824,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51
0,3,2,3,42.1875,37.5000,14.0625,6.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.8750,37.5000,31.2500,6.2500,1.5625,0.0000,1.5625,0.0000,0.0000,0.0000,64
0,3,3,0,19.0476,42.8571,23.8095,14.2857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.4762,38.0952,21.4286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42
0,3,3,1,23.8095,45.2381,19.0476,9.5238,2.3810,0.0000,0.0000,0.0000,0.0000,0.0000,35.7143,33.3333,28.5714,2.3810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42
0,3,3,2,43.7500,37.5000,14.0625,4.6875,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.1250,32.8125,29.6875,6.2500,1.5625,0.0000,1.5625,0.0000,0.0000,0.0000,64
0,3,3,3,50.6494,32.4675,7.7922,6.4935,2.5974,0.0000,0.0000,0.0000,0.0000,0.0000,20.7792,31.1688,25.9740,18.1818,2.5974,0.0000,1.2987,0.0000,0.0000,0.0000,77
1,0,0,0,19.2308,23.0769,26.9231,19.2308,7.6923,3.8462,0.0000,0.0000,0.0000,0.0000,42.3077,30.7692,19.2308,3.8462,3.8462,0.0000,0.0000,0.0000,0.0000,0.0000,26
1,0,0,1,18.1818,31.8182,27.2727,13.6364,9.0909,0.0000,0.0000,0.0000,0.0000,0.0000,31.8182,36.3636,18.1818,9.0909,4.5455,0.0000,0.0000,0.0000,0.0000,0.0000,22
1,0,0,2,24.3902,41.4634,19.5122,9.7561,4.8780,0.0000,0.0000,0.0000,0.0000,0.0000,24.3902,39.0244,26.8293,4.8780,2.4390,0.0000,2.4390,0.0000,0.0000,0.0000,41
1,0,0,3,25.0000,45.8333,16.6667,8.3333,4.1667,0.0000,0.0000,0.0000,0.0000,0.0000,27.0833,39.5833,25.0000,4.1667,2.0833,0.0000,2.0833,0.0000,0.0000,0.0000,48
1,0,1,0,13.6364,43.1818,25.0000,15.9091,0.0000,0.0000,2.2727,0.0000,0.0000,0.0000,36.3636,43.1818,11.3636,6.8182,2.2727,0.0000,0.0000,0.0000,0.0000,0.0000,44
1,0,1,1,31.5789,31.5789,23.6842,7.8947,5.2632,0.0000,0.0000,0.0000,0.0000,0.0000,36.8421,39.4737,13.1579,10.5263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38
1,0,1,2,30.3571,32.1429,25.0000,8.9286,3.5714,0.0000,0.0000,0.0000,0.0000,0.0000,33.9286,33.9286,21.4286,8.9286,0.0000,0.0000,1.7857,0.0000,0.0000,0.0000,56
1,0,1,3,36.3636,38.6364,15.9091,9.0909,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,34.0909,20.4545,13.6364,6.8182,0.0000,0.0000,0.0000,0.0000,0.0000,44
1,0,2,0,13.9535,27.9070,34.8837,13.9535,6.9767,0.0000,2.3256,0.0000,0.0000,0.0000,44.1860,44.1860,6.9767,4.6512,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43
1,0,2,1,30.4348,30.4348,23.9130,8.6957,6.5217,0.0000,0.0000,0.0000,0.0000,0.0000,39.1304,36.9565,13.0435,10.8696,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,46
1,0,2,2,35.8974,20.5128,33.3333,7.6923,2.5641,0.0000,0.0000,0.0000,0.0000,0.0000,33.3333,38.4615,15.3846,7.6923,2.5641,0.0000,2.5641,0.0000,0.0000,0.0000,39
1,0,2,3,35.2941,30.8824,25.0000,7.3529,1.4706,0.0000,0.0000,0.0000,0.0000,0.0000,27.9412,38.2353,14.7059,11.7647,5.8824,0.0000,1.4706,0.0000,0.0000,0.0000,68
1,0,3,0,12.5000,35.4167,35.4167,10.4167,4.1667,0.0000,2.0833,0.0000,0.0000,0.0000,35.4167,43.7500,10.4167,8.3333,2.0833,0.0000,0.0000,0.0000,0.0000,0.0000,48
1,0,3,1,31.3433,35.8209,23.8806,4.4776,4.4776,0.0000,0.0000,0.0000,0.0000,0.0000,28.3582,41.7910,11.9403,14.9254,2.9851,0.0000,0.0000,0.0000,0.0000,0.0000,67
1,0,3,2,33.8235,29.4118,29.4118,4.4118,2.9412,0.0000,0.0000,0.0000,0.0000,0.0000,26.4706,41.1765,13.2353,13.2353,4.4118,0.0000,1.4706,0.0000,0.0000,0.0000,68
1,0,3,3,28.8136,44.0678,13.5593,11.8644,1.6949,0.0000,0.0000,0.0000,0.0000,0.0000,11.8644,44.0678,27.1186,11.8644,5.0847,0.0000,0.0000,0.0000,0.0000,0.0000,59
1,1,0,0,26.6667,31.1111,26.6667,6.6667,6.6667,2.2222,0.0000,0.0000,0.0000,0.0000,35.5556,40.0000,15.5556,4.4444,4.4444,0.0000,0.0000,0.0000,0.0000,0.0000,45
1,1,0,1,21.4286,39.2857,17.8571,7.1429,10.7143,3.5714,0.0000,0.0000,0.0000,0.0000,42.8571,39.2857,14.2857,3.5714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28
1,1,0,2,29.0909,36.3636,21.8182,5.4545,5.4545,1.8182,0.0000,0.0000,0.0000,0.0000,40.0000,36.3636,18.1818,3.6364,0.0000,0.0000,1.8182,0.0000,0.0000,0.0000,55
1,1,0,3,30.1587,39.6825,19.0476,4.7619,4.7619,1.5873,0.0000,0.0000,0.0000,0.0000,41.2698,36.5079,17.4603,3.1746,0.0000,0.0000,1.5873,0.0000,0.0000,0.0000,63
1,1,1,0,13.1579,28.9474,36.8421,10.5263,2.6316,7.8947,0.0000,0.0000,0.0000,0.0000,31.5789,42.1053,13.1579,10.5263,2.6316,0.0000,0.0000,0.0000,0.0000,0.0000,38
1,1,1,1,11.9048,45.2381,38.0952,4.7619,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.1905,40.4762,23.8095,7.1429,2.3810,0.0000,0.0000,0.0000,0.0000,0.0000,42
1,1,1,2,15.7143,41.4286,35.7143,5.7143,1.4286,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,40.0000,22.8571,5.7143,1.4286,0.0000,0.0000,0.0000,0.0000,0.0000,70
1,1,1,3,16.6667,50.0000,23.8095,4.7619,4.7619,0.0000,0.0000,0.0000,0.0000,0.0000,28.5714,35.7143,30.9524,4.7619,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42
1,1,2,0,20.0000,30.0000,28.3333,10.0000,6.6667,5.0000,0.0000,0.0000,0.0000,0.0000,41.6667,36.6667,11.6667,8.3333,1.6667,0.0000,0.0000,0.0000,0.0000,0.0000,60
1,1,2,1,11.9048,45.2381,38.0952,4.7619,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.1905,40.4762,23.8095,7.1429,2.3810,0.0000,0.0000,0.0000,0.0000,0.0000,42
1,1,2,2,21.6667,36.6667,26.6667,6.6667,8.3333,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,33.3333,15.0000,8.3333,3.3333,3.3333,0.0000,1.6667,0.0000,0.0000,60
1,1,2,3,30.0000,40.0000,20.0000,5.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,35.0000,25.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
1,1,3,0,20.0000,30.0000,28.3333,10.0000,6.6667,5.0000,0.0000,0.0000,0.0000,0.0000,41.6667,36.6667,11.6667,8.3333,1.6667,0.0000,0.0000,0.0000,0.0000,0.0000,60
1,1,3,1,23.2558,44.1860,23.2558,4.6512,4.6512,0.0000,0.0000,0.0000,0.0000,0.0000,32.5581,30.2326,23.2558,9.3023,4.6512,0.0000,0.0000,0.0000,0.0000,0.0000,43
1,1,3,2,20.0000,45.0000,25.0000,5.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,30.0000,25.0000,5.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
1,1,3,3,31.5789,37.8947,22.1053,7.3684,1.0526,0.0000,0.0000,0.0000,0.0000,0.0000,21.0526,35.7895,22.1053,15.7895,3.1579,1.0526,1.0526,0.0000,0.0000,0.0000,95
1,2,0,0,24.6154,33.8462,24.6154,10.7692,4.6154,1.5385,0.0000,0.0000,0.0000,0.0000,41.5385,35.3846,15.3846,4.6154,3.0769,0.0000,0.0000,0.0000,0.0000,0.0000,65
1,2,0,1,25.0000,34.0909,20.4545,11.3636,6.8182,2.2727,0.0000,0.0000,0.0000,0.0000,50.0000,34.0909,13.6364,2.2727,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44
1,2,0,2,38.0952,33.3333,19.0476,4.7619,4.7619,0.0000,0.0000,0.0000,0.0000,0.0000,42.8571,35.7143,14.2857,7.1429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42
1,2,0,3,31.9149,38.2979,19.1489,6.3830,4.2553,0.0000,0.0000,0.0000,0.0000,0.0000,42.5532,38.2979,12.7660,6.3830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47
1,2,1,0,10.4167,35.4167,35.4167,8.3333,2.0833,8.3333,0.0000,0.0000,0.0000,0.0000,33.3333,43.7500,12.5000,8.3333,2.0833,0.0000,0.0000,0.0000,0.0000,0.0000,48
1,2,1,1,15.6250,43.7500,31.2500,7.8125,1.5625,0.0000,0.0000,0.0000,0.0000,0.0000,34.3750,39.0625,18.7500,6.2500,1.5625,0.0000,0.0000,0.0000,0.0000,0.0000,64
1,2,1,2,31.7073,36.5854,24.3902,4.8780,2.4390,0.0000,0.0000,0.0000,0.0000,0.0000,41.4634,29.2683,24.3902,4.8780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,41
1,2,1,3,23.8095,42.8571,26.1905,2.3810,4.7619,0.0000,0.0000,0.0000,0.0000,0.0000,38.0952,35.7143,19.0476,7.1429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42
